车型,白车身,整车物料号,计划上线日期,计划产量
M36T6,921001007AA,M6844G5WOLX7596,2026-03-23,12
M36T6,921001007AA,M6617G5WOLX6413,2026-03-23,12
M36T6,921001007AA,M6536H5YOLX8953,2026-03-23,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-23,11
M65T7,921001824AC,M6573J5XOLX5040,2026-03-22,9
M65T7,921001003AC,M6837K5XOLX5342,2026-03-22,16
M65T5,921001593AE,M6561H5WOLX2343,2026-03-22,278
M65T5,921001323AA,M6644H5YOLX4335,2026-03-22,13
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-22,13
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-22,10
M60T4,921001063AB,M6593G5YOLX7211,2026-03-22,13
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-22,11
M55T7,921001281AA,M6567J5YOLX3695,2026-03-22,12
M55T5,921001309AA,M6564J5WOLX1893,2026-03-22,6
M50T4,921001618AC,M6732J5XOLX7065,2026-03-22,9
M50T4,921001604AD,M6758G5XOLX9928,2026-03-22,11
M50T2,921001355AE,M6991J5ZOLX3506,2026-03-22,10
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-22,11
M45T5,921001227AB,M6973H5YOLX8066,2026-03-22,10
M45T5,921001227AB,M6642G5YOLX6753,2026-03-22,11
M45T5,921001227AB,M6559J5XOLX5349,2026-03-22,9
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-22,13
M36T6,921001007AA,M6617G5WOLX6413,2026-03-22,730
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-22,10
M65T7,921001824AC,M6637G5XOLX6155,2026-03-21,266
M65T7,921001824AC,M6573J5XOLX5040,2026-03-21,7
M65T5,921001703AC,M6582K5ZOLX1158,2026-03-21,13
M65T5,921001593AE,M6714J5YOLX4346,2026-03-21,10
M65T5,921001323AA,M6645H5ZOLX9900,2026-03-21,15
M65T5,921001323AA,M6644H5YOLX4335,2026-03-21,11
M60T4,921001180AE,M6880K5ZOLX5246,2026-03-21,14
M60T4,921001180AE,M6861H5WOLX7797,2026-03-21,8
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-21,11
M60T4,921001063AB,M6818G5ZOLX1444,2026-03-21,15
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-21,11
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-21,11
M55T7,921001281AA,M6567J5YOLX3695,2026-03-21,13
M55T5,921001737AD,M6859K5YOLX6023,2026-03-21,11
M55T5,921001309AA,M6564J5WOLX1893,2026-03-21,686
M50T4,921001618AC,M6732J5XOLX7065,2026-03-21,13
M50T4,921001604AD,M6674J5XOLX4527,2026-03-21,10
M50T2,921001355AE,M6922J5YOLX5022,2026-03-21,12
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-21,14
M45T5,921001227AB,M6973H5YOLX8066,2026-03-21,9
M45T5,921001227AB,M6559J5XOLX5349,2026-03-21,10
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-21,11
M36T6,921001007AA,M6617G5WOLX6413,2026-03-21,16
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-21,6
M65T7,921001824AC,M6573J5XOLX5040,2026-03-20,11
M65T5,921001593AE,M6991G5XOLX2122,2026-03-20,14
M65T5,921001323AA,M6644H5YOLX4335,2026-03-20,4
M60T4,921001956AE,M6945H5XOLX7274,2026-03-20,13
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-20,11
M60T4,921001063AB,M6699G5ZOLX8814,2026-03-20,11
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-20,11
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-20,711
M55T7,921001281AA,M6567J5YOLX3695,2026-03-20,13
M55T5,921001737AD,M6729G5WOLX5820,2026-03-20,14
M55T5,921001309AA,M6564J5WOLX1893,2026-03-20,11
M55T5,921001309AA,M6537G5XOLX3444,2026-03-20,19
M50T4,921001618AC,M6732J5XOLX7065,2026-03-20,11
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-20,13
M50T2,921001355AE,M6514K5YOLX3979,2026-03-20,8
M45T5,921001227AB,M6973H5YOLX8066,2026-03-20,8
M45T5,921001227AB,M6559J5XOLX5349,2026-03-20,12
M45T5,921001227AB,M6522K5WOLX9518,2026-03-20,10
M36T6,921001745AC,M6642K5XOLX2235,2026-03-20,13
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-20,2
M36T6,921001007AA,M6617G5WOLX6413,2026-03-20,13
M36T6,921001007AA,M6609H5ZOLX4981,2026-03-20,11
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-20,7
M65T7,921001824AC,M6573J5XOLX5040,2026-03-19,16
M65T5,921001323AA,M6644H5YOLX4335,2026-03-19,653
M60T4,921001956AE,M6839H5ZOLX1606,2026-03-19,12
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-19,13
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-19,15
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-19,12
M55T7,921001281AA,M6567J5YOLX3695,2026-03-19,13
M55T5,921001309AA,M6564J5WOLX1893,2026-03-19,12
M50T4,921001618AC,M6732J5XOLX7065,2026-03-19,10
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-19,11
M45T5,921001737AC,M6953H5ZOLX9099,2026-03-19,11
M45T5,921001227AB,M6973H5YOLX8066,2026-03-19,9
M45T5,921001227AB,M6559J5XOLX5349,2026-03-19,15
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-19,13
M36T6,921001007AA,M6617G5WOLX6413,2026-03-19,14
M32T2,921001781AB,M6996K5WOLX9889,2026-03-19,8
M32T2,921001781AB,M6765J5ZOLX8242,2026-03-19,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-19,13
M65T7,921001824AC,M6573J5XOLX5040,2026-03-18,9
M65T5,921001703AC,M6960G5YOLX4441,2026-03-18,11
M65T5,921001323AA,M6644H5YOLX4335,2026-03-18,7
M60T4,921001956AE,M6619K5WOLX6213,2026-03-18,16
M60T4,921001180AE,M6813K5ZOLX3607,2026-03-18,10
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-18,10
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-18,6
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-18,12
M55T7,921001281AA,M6825H5YOLX3240,2026-03-18,15
M55T7,921001281AA,M6567J5YOLX3695,2026-03-18,16
M55T7,921001281AA,M6546K5WOLX5332,2026-03-18,273
M55T5,921001309AA,M6564J5WOLX1893,2026-03-18,6
M50T4,921001618AC,M6732J5XOLX7065,2026-03-18,19
M50T4,921001604AD,M6694G5YOLX6635,2026-03-18,10
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-18,21
M50T2,921001160AA,M6724G5ZOLX5982,2026-03-18,12
M45T5,921001227AB,M6973H5YOLX8066,2026-03-18,16
M45T5,921001227AB,M6873J5ZOLX9379,2026-03-18,13
M45T5,921001227AB,M6559J5XOLX5349,2026-03-18,10
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-18,632
M36T6,921001007AA,M6617G5WOLX6413,2026-03-18,8
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-18,12
M65T7,921001824AC,M6697K5ZOLX9669,2026-03-17,13
M65T7,921001824AC,M6685H5XOLX9348,2026-03-17,12
M65T7,921001824AC,M6573J5XOLX5040,2026-03-17,11
M65T5,921001593AE,M6882J5WOLX1821,2026-03-17,14
M65T5,921001323AA,M6644H5YOLX4335,2026-03-17,14
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-17,14
M60T4,921001180AE,M6671J5WOLX3267,2026-03-17,270
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-17,15
M60T4,921001063AB,M6514K5YOLX7624,2026-03-17,10
M55T7,921001698AB,M6983J5YOLX7951,2026-03-17,14
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-17,8
M55T7,921001281AA,M6567J5YOLX3695,2026-03-17,11
M55T5,921001309AA,M6564J5WOLX1893,2026-03-17,9
M50T4,921001618AC,M6732J5XOLX7065,2026-03-17,663
M50T2,921001799AA,M6703H5WOLX4978,2026-03-17,11
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-17,8
M45T5,921001227AB,M6973H5YOLX8066,2026-03-17,9
M45T5,921001227AB,M6559J5XOLX5349,2026-03-17,14
M36T6,921001745AC,M6585K5ZOLX8886,2026-03-17,10
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-17,9
M36T6,921001007AA,M6617G5WOLX6413,2026-03-17,7
M32T2,921001781AB,M6661J5YOLX2899,2026-03-17,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-17,16
M65T7,921001824AC,M6573J5XOLX5040,2026-03-16,7
M65T5,921001323AA,M6644H5YOLX4335,2026-03-16,10
M60T4,921001956AE,M6564J5WOLX8213,2026-03-16,8
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-16,755
M60T4,921001180AE,M6539J5XOLX5451,2026-03-16,9
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-16,14
M55T7,921001698AB,M6858J5WOLX7484,2026-03-16,7
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-16,7
M55T7,921001281AA,M6567J5YOLX3695,2026-03-16,16
M55T5,921001737AD,M6676K5YOLX6764,2026-03-16,13
M55T5,921001309AA,M6564J5WOLX1893,2026-03-16,4
M50T4,921001618AC,M6732J5XOLX7065,2026-03-16,17
M50T4,921001604AD,M6515G5XOLX4811,2026-03-16,7
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-16,12
M45T5,921001227AB,M6973H5YOLX8066,2026-03-16,15
M45T5,921001227AB,M6559J5XOLX5349,2026-03-16,17
M36T6,921001745AC,M6928G5WOLX4872,2026-03-16,12
M36T6,921001745AC,M6694G5ZOLX5345,2026-03-16,8
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-16,13
M36T6,921001007AA,M6617G5WOLX6413,2026-03-16,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-16,6
M65T7,921001824AC,M6573J5XOLX5040,2026-03-15,11
M65T5,921001323AA,M6644H5YOLX4335,2026-03-15,14
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-15,9
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-15,7
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-15,18
M55T7,921001281AA,M6567J5YOLX3695,2026-03-15,632
M55T5,921001309AA,M6564J5WOLX1893,2026-03-15,13
M50T4,921001618AC,M6732J5XOLX7065,2026-03-15,9
M50T2,921001799AA,M6986H5XOLX1333,2026-03-15,15
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-15,12
M50T2,921001160AA,M6530H5YOLX5728,2026-03-15,6
M45T5,921001227AB,M6973H5YOLX8066,2026-03-15,14
M45T5,921001227AB,M6559J5XOLX5349,2026-03-15,8
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-15,7
M36T6,921001007AA,M6617G5WOLX6413,2026-03-15,10
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-15,13
M65T7,921001824AC,M6884J5YOLX2827,2026-03-14,12
M65T7,921001824AC,M6573J5XOLX5040,2026-03-14,10
M65T5,921001703AC,M6565G5YOLX6974,2026-03-14,11
M65T5,921001593AE,M6702H5YOLX8491,2026-03-14,10
M65T5,921001323AA,M6951G5XOLX7054,2026-03-14,12
M65T5,921001323AA,M6644H5YOLX4335,2026-03-14,5
M60T4,921001180AE,M6748H5YOLX8206,2026-03-14,12
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-14,14
M60T4,921001063AB,M6936K5XOLX8999,2026-03-14,11
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-14,11
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-14,17
M55T7,921001698AB,M6589G5ZOLX4945,2026-03-14,16
M55T7,921001281AA,M6572H5ZOLX6992,2026-03-14,12
M55T7,921001281AA,M6567J5YOLX3695,2026-03-14,8
M55T5,921001309AA,M6783J5XOLX9042,2026-03-14,16
M55T5,921001309AA,M6745K5YOLX4020,2026-03-14,14
M55T5,921001309AA,M6564J5WOLX1893,2026-03-14,10
M50T4,921001618AC,M6732J5XOLX7065,2026-03-14,9
M50T2,921001355AE,M6925G5YOLX8385,2026-03-14,9
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-14,654
M45T5,921001227AB,M6973H5YOLX8066,2026-03-14,11
M45T5,921001227AB,M6559J5XOLX5349,2026-03-14,7
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-14,12
M36T6,921001007AA,M6716K5ZOLX1887,2026-03-14,13
M36T6,921001007AA,M6617G5WOLX6413,2026-03-14,9
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-14,13
M65T7,921001824AC,M6578H5ZOLX2040,2026-03-13,12
M65T7,921001824AC,M6573J5XOLX5040,2026-03-13,13
M65T7,921001003AC,M6917G5XOLX3103,2026-03-13,11
M65T7,921001003AC,M6770K5XOLX9835,2026-03-13,12
M65T5,921001703AC,M6512H5YOLX7745,2026-03-13,21
M65T5,921001323AA,M6644H5YOLX4335,2026-03-13,12
M65T5,921001323AA,M6609J5XOLX6718,2026-03-13,19
M60T4,921001956AE,M6881K5ZOLX7325,2026-03-13,12
M60T4,921001419AB,M6740J5YOLX7512,2026-03-13,8
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-13,6
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-13,11
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-13,10
M55T7,921001698AB,M6754H5XOLX8555,2026-03-13,13
M55T7,921001281AA,M6903K5WOLX6977,2026-03-13,288
M55T7,921001281AA,M6567J5YOLX3695,2026-03-13,13
M55T5,921001309AA,M6694K5ZOLX5871,2026-03-13,12
M55T5,921001309AA,M6564J5WOLX1893,2026-03-13,14
M55T5,921001309AA,M6558G5ZOLX9056,2026-03-13,7
M50T4,921001618AC,M6732J5XOLX7065,2026-03-13,10
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-13,13
M50T2,921001160AA,M6806G5ZOLX6280,2026-03-13,11
M45T5,921001227AB,M6973H5YOLX8066,2026-03-13,714
M45T5,921001227AB,M6559K5XOLX5173,2026-03-13,10
M45T5,921001227AB,M6559J5XOLX5349,2026-03-13,10
M36T6,921001745AC,M6627H5XOLX9786,2026-03-13,8
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-13,13
M36T6,921001007AA,M6617G5WOLX6413,2026-03-13,13
M32T2,921001781AB,M6916G5ZOLX2442,2026-03-13,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-13,13
M65T7,921001824AC,M6573J5XOLX5040,2026-03-12,10
M65T7,921001003AC,M6930H5XOLX7126,2026-03-12,11
M65T7,921001003AC,M6843J5ZOLX9479,2026-03-12,10
M65T5,921001703AC,M6518J5XOLX8041,2026-03-12,13
M65T5,921001323AA,M6644H5YOLX4335,2026-03-12,15
M60T4,921001956AE,M6782K5ZOLX6272,2026-03-12,11
M60T4,921001419AB,M6832G5YOLX9742,2026-03-12,12
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-12,8
M60T4,921001063AB,M6870H5ZOLX3091,2026-03-12,13
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-12,12
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-12,10
M55T7,921001281AA,M6874H5WOLX5835,2026-03-12,13
M55T7,921001281AA,M6567J5YOLX3695,2026-03-12,15
M55T5,921001309AA,M6915J5WOLX5066,2026-03-12,12
M55T5,921001309AA,M6564J5WOLX1893,2026-03-12,11
M50T4,921001618AC,M6732J5XOLX7065,2026-03-12,14
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-12,10
M50T2,921001355AE,M6838J5WOLX9289,2026-03-12,9
M50T2,921001160AA,M6776K5ZOLX2317,2026-03-12,12
M45T5,921001227AB,M6973H5YOLX8066,2026-03-12,9
M45T5,921001227AB,M6828K5YOLX1452,2026-03-12,13
M45T5,921001227AB,M6559J5XOLX5349,2026-03-12,6
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-12,9
M36T6,921001007AA,M6617G5WOLX6413,2026-03-12,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-12,642
M65T7,921001824AC,M6752G5WOLX2796,2026-03-11,16
M65T7,921001824AC,M6573J5XOLX5040,2026-03-11,14
M65T5,921001323AA,M6644H5YOLX4335,2026-03-11,9
M60T4,921001956AE,M6775K5YOLX6446,2026-03-11,13
M60T4,921001419AB,M6666G5YOLX6873,2026-03-11,10
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-11,12
M60T4,921001180AE,M6577H5ZOLX3503,2026-03-11,15
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-11,10
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-11,8
M55T7,921001281AA,M6911G5ZOLX2233,2026-03-11,11
M55T7,921001281AA,M6631K5YOLX6549,2026-03-11,11
M55T7,921001281AA,M6567J5YOLX3695,2026-03-11,13
M55T5,921001309AA,M6564J5WOLX1893,2026-03-11,13
M50T4,921001618AC,M6895J5WOLX4814,2026-03-11,7
M50T4,921001618AC,M6732J5XOLX7065,2026-03-11,10
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-11,9
M45T5,921001227AB,M6973H5YOLX8066,2026-03-11,15
M45T5,921001227AB,M6559J5XOLX5349,2026-03-11,737
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-11,11
M36T6,921001007AA,M6617G5WOLX6413,2026-03-11,11
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-11,11
M32T2,921001778AA,M6760J5ZOLX8905,2026-03-11,12
M65T7,921001824AC,M6573J5XOLX5040,2026-03-10,685
M65T7,921001003AC,M6886H5YOLX7537,2026-03-10,14
M65T5,921001323AA,M6644H5YOLX4335,2026-03-10,8
M60T4,921001180AE,M6708J5ZOLX7812,2026-03-10,12
M60T4,921001063AB,M6667H5ZOLX6355,2026-03-10,15
M55T7,921001698AB,M6826J5ZOLX5183,2026-03-10,6
M55T7,921001281AA,M6567J5YOLX3695,2026-03-10,18
M55T5,921001309AA,M6812G5XOLX4457,2026-03-10,12
M55T5,921001309AA,M6564J5WOLX1893,2026-03-10,8
M50T4,921001618AC,M6732J5XOLX7065,2026-03-10,14
M50T2,921001799AA,M6858J5YOLX3749,2026-03-10,11
M50T2,921001799AA,M6552J5WOLX1672,2026-03-10,261
M50T2,921001355AE,M6896K5ZOLX8136,2026-03-10,14
M50T2,921001160AA,M6858K5YOLX9199,2026-03-10,14
M45T5,921001737AC,M6575G5WOLX5011,2026-03-10,16
M45T5,921001227AB,M6973H5YOLX8066,2026-03-10,16
M45T5,921001227AB,M6559J5XOLX5349,2026-03-10,10
M36T6,921001007AA,M6901K5ZOLX4119,2026-03-10,9
M36T6,921001007AA,M6617G5WOLX6413,2026-03-10,9
M32T2,921001778AA,M6782G5ZOLX2527,2026-03-10,9
M32T2,921001778AA,M6636H5YOLX8178,2026-03-10,14
